gateway,nextHop
0,363
1,388
2,365
3,96
4,144
5,583
6,100
7,507
8,427
9,361
10,419
11,69
12,306
13,420
14,121
15,424
16,467
17,318
18,33
19,479
20,51
21,173
22,220
23,267
24,533
25,446
26,543
27,185
28,143
29,30
30,123
31,48
32,38
33,130
34,551
35,191
36,211
37,454
38,34
39,29
40,307
41,362
42,162
43,163
44,8
45,99
46,249
47,453
48,236
49,226
50,154
51,1
52,83
53,518
54,239
55,345
56,498
57,422
58,542
59,556
60,41
61,548
62,301
63,549
64,71
65,313
66,46
67,41
68,204
69,442
70,222
71,428
72,355
73,125
74,480
75,204
76,189
77,459
78,253
79,22
80,188
81,109
82,79
83,364
84,125
85,190
86,345
87,542
88,261
89,280
90,557
91,145
92,193
93,584
94,339
95,529
96,318
97,384
98,422
99,140
100,380
101,454
102,91
103,551
104,337
105,362
106,142
107,376
108,408
109,517
110,145
111,467
112,91
113,55
114,235
115,16
116,299
117,527
118,88
119,91
120,540
121,455
122,166
123,306
124,322
125,285
126,109
127,449
128,227
129,83
130,162
131,485
132,551
133,305
134,585
135,256
136,319
137,571
138,429
139,103
140,23
141,267
142,50
143,587
144,-1
145,-1
146,397
147,495
148,539
149,404
150,440
151,182
152,341
153,408
154,598
155,214
156,388
157,41
158,31
159,42
160,86
161,293
162,4
163,467
164,586
165,120
166,418
167,185
168,446
169,37
170,292
171,596
172,578
173,457
174,168
175,473
176,375
177,435
178,465
179,547
180,236
181,173
182,64
183,448
184,404
185,368
186,10
187,45
188,220
189,106
190,411
191,283
192,542
193,542
194,60
195,165
196,129
197,214
198,290
199,198
200,383
201,43
202,502
203,549
204,545
205,184
206,231
207,52
208,175
209,589
210,7
211,388
212,43
213,339
214,17
215,55
216,236
217,281
218,440
219,24
220,278
221,198
222,215
223,337
224,410
225,377
226,397
227,334
228,104
229,259
230,324
231,275
232,140
233,414
234,296
235,85
236,521
237,344
238,514
239,23
240,298
241,282
242,425
243,264
244,343
245,28
246,582
247,565
248,130
249,345
250,119
251,152
252,346
253,32
254,529
255,415
256,219
257,402
258,241
259,392
260,104
261,232
262,318
263,29
264,92
265,528
266,82
267,450
268,384
269,340
270,351
271,267
272,42
273,144
274,578
275,131
276,433
277,591
278,539
279,417
280,249
281,333
282,217
283,436
284,456
285,411
286,471
287,402
288,340
289,10
290,345
291,137
292,248
293,36
294,274
295,425
296,119
297,582
298,406
299,188
300,378
301,501
302,597
303,564
304,338
305,276
306,61
307,65
308,205
309,35
310,444
311,103
312,550
313,477
314,278
315,532
316,432
317,416
318,273
319,596
320,284
321,438
322,549
323,482
324,24
325,267
326,561
327,190
328,82
329,573
330,56
331,326
332,157
333,345
334,193
335,462
336,385
337,250
338,454
339,51
340,276
341,261
342,247
343,205
344,198
345,-1
346,461
347,587
348,229
349,359
350,377
351,227
352,456
353,149
354,556
355,360
356,576
357,221
358,335
359,283
360,325
361,440
362,169
363,299
364,89
365,324
366,284
367,126
368,445
369,405
370,465
371,530
372,6
373,61
374,515
375,425
376,25
377,381
378,258
379,137
380,416
381,104
382,227
383,52
384,460
385,471
386,455
387,140
388,215
389,150
390,4
391,414
392,283
393,164
394,130
395,281
396,162
397,36
398,526
399,443
400,93
401,312
402,168
403,65
404,14
405,88
406,376
407,108
408,508
409,105
410,66
411,450
412,447
413,75
414,91
415,139
416,322
417,-1
418,204
419,319
420,582
421,240
422,105
423,454
424,103
425,423
426,543
427,516
428,166
429,387
430,148
431,65
432,12
433,573
434,10
435,201
436,103
437,412
438,346
439,371
440,314
441,251
442,8
443,79
444,271
445,253
446,382
447,54
448,198
449,-1
450,345
451,452
452,578
453,424
454,589
455,434
456,209
457,511
458,467
459,227
460,418
461,525
462,423
463,280
464,152
465,153
466,535
467,290
468,356
469,24
470,129
471,243
472,114
473,55
474,399
475,411
476,301
477,579
478,198
479,367
480,6
481,366
482,597
483,87
484,587
485,448
486,349
487,159
488,378
489,220
490,283
491,32
492,204
493,410
494,502
495,281
496,26
497,-1
498,482
499,433
500,594
501,590
502,257
503,233
504,490
505,218
506,593
507,72
508,152
509,238
510,482
511,271
512,356
513,357
514,197
515,568
516,1
517,130
518,203
519,187
520,550
521,588
522,332
523,321
524,-1
525,72
526,483
527,37
528,157
529,1
530,208
531,521
532,113
533,131
534,70
535,190
536,325
537,157
538,80
539,517
540,548
541,91
542,145
543,225
544,313
545,497
546,380
547,369
548,455
549,345
550,256
551,145
552,564
553,157
554,346
555,238
556,85
557,243
558,491
559,137
560,288
561,415
562,270
563,94
564,570
565,456
566,595
567,322
568,120
569,421
570,373
571,433
572,151
573,529
574,100
575,596
576,46
577,143
578,437
579,456
580,312
581,413
582,17
583,581
584,29
585,3
586,121
587,66
588,508
589,145
590,254
591,219
592,119
593,364
594,108
595,395
596,417
597,596
598,217
599,395
